source_index,label,page,declared_pages,source_path,source_sha256,topic,latest_manifest_status,latest_model,md_path,md_exists,md_chars,png_exists,raw_text_chars,raw_text_sha256,block_marker_count,record_state
1,ppt3-discrete-prob-dist,1,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p001.md,true,74,false,76,2ccc6c0414e76f4c339f39242b2bf0220aed3338e0758113bdea385e5d57069b,0,converted
1,ppt3-discrete-prob-dist,2,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p002.md,true,60,false,59,bce6530cb51f0420c5ec38ab8cb7c394dc9a02964dcf476f6dec05b64b215850,0,converted
1,ppt3-discrete-prob-dist,3,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p003.md,true,283,false,155,2a2880c09e6236a072ca73126bfc3633aa5f4894e274adc86365d27f74dc88b7,0,converted
1,ppt3-discrete-prob-dist,4,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p004.md,true,391,false,362,e6cf0c25d27dc49f62fe2808d943d09df1e5514457be4b3c5a5f6f2e60d62204,0,converted
1,ppt3-discrete-prob-dist,5,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p005.md,true,358,false,369,d98ff3bc1af84e0c6a6b231f8d860ad011d7c94a1b50f11bf3504bd97fa5e2b2,0,converted
1,ppt3-discrete-prob-dist,6,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p006.md,true,862,false,929,d3657e36aaa64b74470f0e1c13cf5ae8e8ab8f99ea7ed927a059fd50f8c7b015,0,converted
1,ppt3-discrete-prob-dist,7,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p007.md,true,153,false,88,181caf4edb8cb5dae3bf3c7be82e59dfb655159c1ffcd13f775ee4f61087bd12,0,converted
1,ppt3-discrete-prob-dist,8,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p008.md,true,373,false,364,27486c1d27a623d9e2d5a807f2ca755fc000cd6f6a4f7c237ce08a3f1e264b15,0,converted
1,ppt3-discrete-prob-dist,9,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p009.md,true,316,false,313,b8f6d2cb7bdfae588893cfa3cafaddd6f9b220fdbbe7298db68d505aa30daa26,0,converted
1,ppt3-discrete-prob-dist,10,28,/home/liebert511/PS/PPT 3 SnP LMS.pdf,9cc7f631c99f5afd171767ad47ab653ef1e5033e85ccdf1b8a643f27cfae1dea,"Discrete probability distributions, binomial",ok,xiaomi/mimo-v2.5,md/ppt3-discrete-prob-dist/p010.md,true,351,false,324,63c1b918868042ffad796d18f81f7deef178cdfcd9dbef0a5224b17de2e6dfad,0,converted
